file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
image/src/DiscardTracker.h,131,0,0,0,1.41
image/encoders/ico/nsICOEncoder.h,97,2,3,0,0.53
image/encoders/png/nsPNGEncoder.h,82,0,0,0,0.33
image/encoders/jpeg/nsJPEGEncoder.h,79,0,0,0,0.47
image/encoders/bmp/nsBMPEncoder.h,91,1,1,0,0.53
widget/windows/winrt/nsMetroFilePicker.h,69,1,1,0,0.29
widget/windows/nsFilePicker.h,164,1,5,0,0.16
widget/windows/winrt/mozwrlbase.h,77,0,0,0,0.29
media/libopus/silk/resampler_private_up2_HQ.c,113,7,2,1,0.85
media/libopus/silk/resampler_private.h,88,0,0,0,1.74
js/src/jit/RegisterAllocator.cpp,506,8,9,5,0.12
js/src/jit/RegisterAllocator.h,382,1,43,2,0.22
gfx/2d/DrawTargetD2D.cpp,2679,5,65,4,0.06
gfx/2d/DrawTargetD2D.h,281,1,4,1,0.18
gfx/2d/SourceSurfaceD2D.h,86,1,3,0,0.11
gfx/2d/SourceSurfaceD2DTarget.h,83,1,2,0,0.30
gfx/2d/ShadersD2D.h,16020,0,0,0,0.00
gfx/2d/PathD2D.h,105,1,6,0,0.07
gfx/2d/GradientStopsD2D.h,35,1,2,0,0.31
gfx/2d/ScaledFontDWrite.h,68,1,4,0,0.15
gfx/2d/ImageScaling.h,76,1,5,0,0.17
gfx/2d/Logging.h,117,1,12,1,0.12
gfx/2d/Tools.h,145,2,14,1,0.10
